Occ	Ind	2009	2016
1	1	356	1353
2	1	879	613
3	1	11831	12885
4	1	6862	6148
5	1	628	2100
6	1	3125	3067
7	1	2603	6141
8	1	5410	12577
9	1	952	1117
10	1	1363	1395
11	1	86275	99706
12	1	2784	2357
1	2	1862	3758
2	2	9432	10893
3	2	29181	30861
4	2	13583	12951
5	2	7213	6788
6	2	38080	41649
7	2	41131	46452
8	2	16077	20217
9	2	2222	2864
10	2	1742	1433
11	2	113820	121141
12	2	8082	10417
1	3	5475	7909
2	3	45857	46194
3	3	60953	49895
4	3	37217	36792
5	3	8472	8994
6	3	26924	24423
7	3	1210	1257
8	3	14853	10435
9	3	2755	2542
10	3	1195	984
11	3	9856	12941
12	3	1880	1144
1	4	1220	2332
2	4	4638	4172
3	4	20761	18800
4	4	24748	22831
5	4	13414	12925
6	4	132733	139745
7	4	27791	28068
8	4	22906	26613
9	4	21681	22077
10	4	9684	11269
11	4	153064	145504
12	4	25018	22271
1	5	9842	9289
2	5	64	133
3	5	141	253
4	5	406	0
5	5	0	0
6	5	193	377
7	5	0	106
8	5	0	0
9	5	1248	1372
10	5	649	393
11	5	1155	799
12	5	230	59
